"Albany","Albany Police",405,,311,,77,"%",,177,,57,"%",,101082,,31,,6,"%",(2),"%",42,"%",,,,,,94,383,317,66,"Albany","Albany Police"
"Albany","Colonie Police",144,,107,,74,,,52,,49,,,76494,,14,,(5),,(4),,(8),,,,,,,37,151,111,40,"Albany","Colonie Police"
"Broome","Binghamton Police",161,,144,,89,,,101,,70,,,53008,,27,,10,,6,,55,,,,,,,17,147,136,11,"Broome","Binghamton Police"
"Erie","Erie County Sheriff",630,,547,,87,,,199,,36,,,968532,,6,,(6),,(5),,(12),,,,,,,83,671,577,94,"Erie","Erie County Sheriff"
"Erie","Amherst Police",178,,147,,83,,,80,,54,,,111711,,13,,1,,7,,(21),,,,,,,31,177,138,39,"Erie","Amherst Police"
"Erie","Buffalo Police",1069,,941,,88,,,621,,66,,,328123,,29,,(9),,(9),,(12),,,,,,,128,1177,1032,145,"Erie","Buffalo Police"
"Erie","Cheektowaga Police",158,,132,,84,,,104,,79,,,99314,,13,,(1),,3,,(16),,,,,,,26,159,128,31,"Erie","Cheektowaga Police"
"Erie","Tonawanda Police",156,,104,,67,,,68,,65,,,82464,,13,,(2),,(2),,(2),,,,,,,52,159,106,53,"Erie","Tonawanda Police"
"Monroe","Monroe County Sheriff",757,,654,,86,,,210,,32,,,713968,,9,,17,,17,,21,,,,,,,103,646,561,85,"Monroe","Monroe County Sheriff"
"Monroe","Rochester Police",822,,660,,80,,,480,,73,,,231636,,28,,10,,5,,34,,,,,,,162,749,628,121,"Monroe","Rochester Police"
"Nassau","Nassau County Police",3241,,2633,,81,,,2226,,85,,,1287348,,20,,(7),,(10),,7,,,,,,,608,3489,2923,566,"Nassau","Nassau County Police"
"New York City","New York City Police",35480,,28079,,79,,,"      ---",,"      ---",,,7322564,,38,,6,,9,,(4),,,,,,,7401,33363,25655,7708,"New York City","New York City Police"
"New York City","New York City Sheriff",324,,169,,52,,,169,,100,,,7322564,,0,,20,,41,,3,,,,,,,155,270,120,150,"New York City","New York City Sheriff"
"New York City","New York City Fire Department",303,,297,,98,,,263,,89,,,"              -",,"         -",,(2),,12,,(86),,,,,,,6,309,265,44,"New York City","New York City Fire Department"
"New York City","New York City Housing Police",2640,,2368,,90,,,1511,,64,,,"              -",,"         -",,22,,22,,21,,,,,,,272,2158,1934,224,"New York City","New York City Housing Police"
"New York City","New York City School Police",3116,,2991,,96,,,0,,0,,,"              -",,"         -",,4,,11,,(58),,,,,,,125,3000,2700,300,"New York City","New York City School Police"
"New York City","New York City Social Services",340,,300,,88,,,270,,90,,,"              -",,"         -",,(55),,(58),,14,,,,,,,40,750,715,35,"New York City","New York City Social Services"
"New York City","New York City Transit Police",4522,,4156,,92,,,3201,,77,,,"              -",,"         -",,17,,14,,59,,,,,,,366,3877,3647,230,"New York City","New York City Transit Police"
"New York City","Long Island Railroad Police",208,,199,,96,,,123,,62,,,"              -",,"         -",,(2),,(2),,0,,,,,,,9,212,203,9,"New York City","Long Island Railroad Police"
"New York City","Metro-North Railroad Police",198,,190,,96,,,142,,75,,,"              -",,"         -",,5,,3,,100,,,,,,,8,188,184,4,"New York City","Metro-North Railroad Police"
"New York City","Port Authority of NY-NJ",1616,,1477,,91,,,1000,,68,,,"              -",,"         -",,15,,5,,3375,,,,,,,139,1410,1406,4,"New York City","Port Authority of NY-NJ"
"Niagara","Niagara Falls Police",178,,157,,88,,,102,,65,,,61840,,25,,2,,1,,11,,,,,,,21,174,155,19,"Niagara","Niagara Falls Police"
"Onondaga","Onondaga County Sheriff",516,,481,,93,,,93,,19,,,468973,,10,,(14),,(6),,(61),,,,,,,35,599,510,89,"Onondaga","Onondaga County Sheriff"
"Onondaga","Syracuse Police",522,,429,,82,,,"      ---",,"      ---",,,163860,,26,,(10),,(4),,(30),,,,,,,93,580,448,132,"Onondaga","Syracuse Police"
"Rensselaer","Troy Police",135,,120,,89,,,81,,68,,,54269,,22,,(6),,(6),,0,,,,,,,15,143,128,15,"Rensselaer","Troy Police"
"Rockland","Clarkstown Police",158,,140,,89,,,101,,72,,,79346,,18,,(2),,4,,(33),,,,,,,18,162,135,27,"Rockland","Clarkstown Police"
"Rockland","Ramapo Police",115,,105,,91,,,88,,84,,,93861,,11,,1,,2,,(9),,,,,,,10,114,103,11,"Rockland","Ramapo Police"
"Schenectady ","Schenectady Police",146,,146,,100,,,82,,56,,,65566,,22,,(17),,0,,(100),,,,,,,0,176,146,30,"Schenectady ","Schenectady Police"
"Suffolk","Suffolk County Police",3241,,2402,,74,,,1967,,82,,,1321864,,18,,5,,(8),,80,,,,,,,839,3079,2614,465,"Suffolk","Suffolk County Police"
"Suffolk","Suffolk County Sheriff",837,,739,,88,,,62,,8,,,1321864,,6,,4,,5,,3,,,,,,,98,801,706,95,"Suffolk","Suffolk County Sheriff"
"Westchester","Westchester County Police",312,,250,,80,,,127,,51,,,874866,,3,,(3),,(8),,24,,,,,,,62,322,272,50,"Westchester","Westchester County Police"
"Westchester","Mt. Vernon Police",210,,167,,80,,,82,,49,,,67153,,25,,(21),,(5),,(52),,,,,,,43,265,176,89,"Westchester","Mt. Vernon Police"
"Westchester","New Rochelle Police",210,,172,,82,,,153,,89,,,67265,,26,,(7),,(9),,0,,,,,,,38,226,188,38,"Westchester","New Rochelle Police"
"Westchester","White Plains Police",265,,184,,69,,,160,,87,,,48718,,38,,(6),,(8),,0,,,,,,,81,281,200,81,"Westchester","White Plains Police"
"Westchester","Yonkers Police",581,,504,,87,,,343,,68,,,188082,,27,,(7),,(4),,(25),,,,,,,77,627,524,103,"Westchester","Yonkers Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NORTH CAROLINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NORTH CAROLINA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Buncombe","Buncombe County Sheriff",211,,133,,63,,,56,,42,,,174821,,8,,26,,6,,86,,,,,,,78,167,125,42,"Buncombe","Buncombe County Sheriff"
"Buncombe","Asheville Police",195,,147,,75,,,108,,73,,,61607,,24,,8,,2,,33,,,,,,,48,180,144,36,"Buncombe","Asheville Police"
"Cumberland","Cumberland County Sheriff",388,,321,,83,,,88,,27,,,274566,,12,,28,,58,,(32),,,,,,,67,302,203,99,"Cumberland","Cumberland County Sheriff"
"Cumberland","Fayetteville Police",293,,226,,77,,,99,,44,,,75695,,30,,1,,3,,(4),,,,,,,67,290,220,70,"Cumberland","Fayetteville Police"
"Durham","Durham County Sheriff",314,,102,,32,,,52,,51,,,181835,,6,,30,,0,,53,,,,,,,212,241,102,139,"Durham","Durham County Sheriff"
"Durham","Durham Police",358,,305,,85,,,216,,71,,,136611,,22,,(2),,8,,(35),,,,,,,53,364,283,81,"Durham","Durham Police"
"Forsyth","Winston-Salem Police",526,,404,,77,,,280,,69,,,143485,,28,,10,,10,,7,,,,,,,122,480,366,114,"Forsyth","Winston-Salem Police"
"Gaston","Gastonia Police",193,,157,,81,,,103,,66,,,54732,,29,,7,,9,,(3),,,,,,,36,181,144,37,"Gaston","Gastonia Police"
"Guilford","Greensboro Police",550,,425,,77,,,193,,45,,,183521,,23,,4,,3,,8,,,,,,,125,527,411,116,"Guilford","Greensboro Police"
"Guilford","High Point Police",187,,167,,89,,,105,,63,,,69496,,24,,7,,6,,18,,,,,,,20,174,157,17,"Guilford","High Point Police"
"Mecklenburg","Charlotte Police",1103,,897,,81,,,670,,75,,,395934,,23,,13,,16,,2,,,,,,,206,972,770,202,"Mecklenburg","Charlotte Police"
"Nash","Rocky Mount Police",158,,122,,77,,,69,,57,,,48997,,25,,4,,8,,(8),,,,,,,36,152,113,39,"Nash","Rocky Mount Police"
"New Hanover","Wilmington Police",180,,150,,83,,,"      ---",,"      ---",,,55530,,27,,6,,11,,(14),,,,,,,30,170,135,35,"New Hanover","Wilmington Police"
"Pitt","Greenville Police",148,,116,,78,,,65,,56,,,44972,,26,,10,,7,,19,,,,,,,32,135,108,27,"Pitt","Greenville Police"
"Wake","Raleigh Police",522,,467,,89,,,300,,64,,,207951,,22,,10,,13,,(11),,,,,,,55,475,413,62,"Wake","Raleigh Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"OHIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"OHIO",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Butler","Hamilton Police",124,,106,,85,,,75,,71,,,61368,,17,,2,,1,,6,,,,,,,18,122,105,17,"Butler","Hamilton Police"
"Clark","Springfield Police",159,,124,,78,,,88,,71,,,70487,,18,,23,,23,,25,,,,,,,35,129,101,28,"Clark","Springfield Police"
"Cuyahoga","Cleveland Police",1852,,1701,,92,,,698,,41,,,505616,,34,,(10),,(3),,(49),,,,,,,151,2060,1761,299,"Cuyahoga","Cleveland Police"
"Franklin","Franklin County Sheriff",669,,519,,78,,,106,,20,,,961437,,5,,13,,10,,26,,,,,,,150,590,471,119,"Franklin","Franklin County Sheriff"
"Franklin","Columbus Police",1870,,1510,,81,,,825,,55,,,632910,,24,,8,,9,,5,,,,,,,360,1724,1381,343,"Franklin","Columbus Police"
"Hamilton","Hamilton County Sheriff",919,,919,,100,,,147,,16,,,866228,,11,,14,,14,,0,,,,,,,0,805,805,0,"Hamilton","Hamilton County Sheriff"
"Hamilton","Cincinnati Police",1160,,944,,81,,,669,,71,,,364040,,26,,(1),,1,,(5),,,,,,,216,1166,938,228,"Hamilton","Cincinnati Police"
"Lucas","Toledo Police",728,,661,,91,,,407,,62,,,332943,,20,,(1),,(3),,24,,,,,,,67,737,683,54,"Lucas","Toledo Police"
"Mahoning","Youngstown Police",229,,208,,91,,,89,,43,,,95732,,22,,10,,18,,(32),,,,,,,21,208,177,31,"Mahoning","Youngstown Police"
"Montgomery","Montgomery County Sheriff",304,,172,,57,,,106,,62,,,573809,,3,,10,,(7),,43,,,,,,,132,277,185,92,"Montgomery","Montgomery County Sheriff"
"Montgomery","Dayton Police",585,,485,,83,,,190,,39,,,182044,,27,,(5),,(4),,(9),,,,,,,100,616,506,110,"Montgomery","Dayton Police"
"Stark","Canton Police",174,,164,,94,,,102,,62,,,84161,,19,,4,,(1),,233,,,,,,,10,168,165,3,"Stark","Canton Police"
"Summit","Summit County Sheriff",295,,237,,80,,,52,,22,,,514990,,5,,18,,20,,9,,,,,,,58,251,198,53,"Summit","Summit County Sheriff"
"Summit","Akron Police",545,,471,,86,,,300,,64,,,223019,,21,,13,,9,,45,,,,,,,74,484,433,51,"Summit","Akron Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"8   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"8   Law Enforcement Management and Administrative Statistics, 1993",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,0,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,0,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,0,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",0,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"OKLAHOMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"OKLAHOMA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Cleveland","Norman Police",140,,108,,77,"%",,75,,69,"%",,80071,,13,,(8),"%",(11),"%",0,"%",,,,,,32,153,121,32,"Cleveland","Norman Police"
"Comanche","Lawton Police",182,,141,,77,,,125,,89,,,80561,,18,,1,,(3),,17,,,,,,,41,181,146,35,"Comanche","Lawton Police"
"Oklahoma","Oklahoma City Police",1197,,967,,81,,,638,,66,,,444719,,22,,3,,12,,(22),,,,,,,230,1158,863,295,"Oklahoma","Oklahoma City Police"
"Tulsa ","Tulsa County Sheriff",264,,164,,62,,,"      ---",,"      ---",,,503341,,3,,12,,4,,28,,,,,,,100,235,157,78,"Tulsa ","Tulsa County Sheriff"
"Tulsa","Tulsa Police",829,,720,,87,,,474,,66,,,367302,,20,,(6),,3,,(39),,,,,,,109,881,702,179,"Tulsa","Tulsa Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"OREGON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"OREGON",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Clackamas","Clackamas County Sheriff",279,,202,,72,,,"      ---",,"      ---",,,278850,,7,,35,,29,,54,,,,,,,77,206,156,50,"Clackamas","Clackamas County Sheriff"
"Lane ","Lane County Sheriff",313,,214,,68,,,75,,35,,,282912,,8,,11,,13,,6,,,,,,,99,282,189,93,"Lane ","Lane County Sheriff"
"Lane ","Eugene Police",435,,149,,34,,,90,,60,,,112669,,13,,78,,10,,160,,,,,,,286,245,135,110,"Lane ","Eugene Police"
"Marion","Salem Police",227,,145,,64,,,84,,58,,,107786,,13,,12,,6,,24,,,,,,,82,203,137,66,"Marion","Salem Police"
"Multnomah","Portland Police",1142,,888,,78,,,"      ---",,"      ---",,,437319,,20,,20,,15,,37,,,,,,,254,955,769,186,"Multnomah","Portland Police"
"Washington","Washington County Sheriff",278,,208,,75,,,94,,45,,,311554,,7,,1,,0,,4,,,,,,,70,275,208,67,"Washington","Washington County Sheriff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"PENNSYLVANIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"PENNSYLVANIA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Allegheny","Allegheny County Police",300,,257,,86,,,152,,59,,,1336449,,2,,(7),,11,,(53),,,,,,,43,324,232,92,"Allegheny","Allegheny County Police"
"Allegheny","Pittsburgh Police",1481,,1206,,81,,,939,,78,,,369879,,33,,20,,5,,220,,,,,,,275,1239,1153,86,"Allegheny","Pittsburgh Police"
"Berks","Reading Police",233,,200,,86,,,110,,55,,,78380,,26,,24,,27,,10,,,,,,,33,188,158,30,"Berks","Reading Police"
"Dauphin","Harrisburg Police",226,,178,,79,,,86,,48,,,52376,,34,,12,,16,,2,,,,,,,48,201,154,47,"Dauphin","Harrisburg Police"
"Erie","Erie Police",232,,193,,83,,,117,,61,,,108718,,18,,6,,1,,50,,,,,,,39,218,192,26,"Erie","Erie Police"
"Lackawanna","Scranton Police",159,,140,,88,,,94,,67,,,81805,,17,,2,,0,,19,,,,,,,19,156,140,16,"Lackawanna","Scranton Police"
"Lancaster","Lancaster Police",155,,126,,81,,,"      ---",,"      ---",,,55551,,23,,(1),,0,,(3),,,,,,,29,156,126,30,"Lancaster","Lancaster Police"
"Lehigh","Allentown Police",230,,207,,90,,,135,,65,,,105090,,20,,12,,11,,15,,,,,,,23,206,186,20,"Lehigh","Allentown Police"
"Montgomery","Lower Merion Township Police",153,,126,,82,,,"      ---",,"      ---",,,58003,,22,,(10),,(6),,(25),,,,,,,27,170,134,36,"Montgomery","Lower Merion Township Police"
"Philadelphia","Philadelphia Police",6930,,6076,,88,,,4043,,67,,,1585577,,38,,(6),,(7),,3,,,,,,,854,7354,6523,831,"Philadelphia","Philadelphia Police"
"Philadelphia","Philadelphia Housing Police",302,,287,,95,,,280,,98,,,"              -",,"         -",,2,,6,,(40),,,,,,,15,295,270,25,"Philadelphia","Philadelphia Housing Police"
"Philadelphia","S.E. Penn. Transit Authority",329,,225,,68,,,196,,87,,,"              -",,"         -",,57,,11,,1386,,,,,,,104,209,202,7,"Philadelphia","S.E. Penn. Transit Authority"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RHODE ISLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RHODE ISLAND",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kent ","Warwick Police",222,,167,,75,,,104,,62,,,85427,,20,,2,,(1),,12,,,,,,,55,217,168,49,"Kent ","Warwick Police"
"Providence","Cranston Police",249,,249,,100,,,143,,57,,,76060,,33,,44,,78,,(100),,,,,,,0,173,140,33,"Providence","Cranston Police"
"Providence","Pawtucket Police",173,,147,,85,,,67,,46,,,72644,,20,,(10),,1,,(46),,,,,,,26,193,145,48,"Providence","Pawtucket Police"
"Providence","Providence Police",467,,409,,88,,,188,,46,,,160728,,25,,(15),,(7),,(47),,,,,,,58,550,440,110,"Providence","Providence Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"SOUTH CAROLINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"SOUTH CAROLINA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Beaufort","Beaufort County Sheriff",121,,110,,91,,,69,,63,,,86425,,13,,11,,1,,"        x",,,,,,,11,109,109,0,"Beaufort","Beaufort County Sheriff"
"Charleston","Charleston County Sheriff",521,,218,,42,,,95,,44,,,295039,,7,,5,,0,,9,,,,,,,303,497,218,279,"Charleston","Charleston County Sheriff"
"Charleston","Charleston Police",361,,267,,74,,,210,,79,,,80414,,33,,5,,7,,(1),,,,,,,94,345,250,95,"Charleston","Charleston Police"
"Charleston","North Charleston Police",218,,170,,78,,,88,,52,,,70218,,24,,31,,23,,71,,,,,,,48,166,138,28,"Charleston","North Charleston Police"
"Greenville","Greenville County Sheriff",325,,264,,81,,,135,,51,,,320167,,8,,6,,3,,22,,,,,,,61,306,256,50,"Greenville","Greenville County Sheriff"
"Greenville","Greenville Police",194,,159,,82,,,63,,40,,,58282,,27,,(3),,(4),,3,,,,,,,35,200,166,34,"Greenville","Greenville Police"
"Horry","Horry County Police",149,,136,,91,,,"      ---",,"      ---",,,144053,,9,,16,,15,,18,,,,,,,13,129,118,11,"Horry","Horry County Police"
"Lexington","Lexington County Sheriff",237,,147,,62,,,69,,47,,,167611,,9,,32,,20,,55,,,,,,,90,180,122,58,"Lexington","Lexington County Sheriff"
"Richland","Richland County Sheriff",352,,277,,79,,,"      ---",,"      ---",,,285720,,10,,15,,6,,67,,,,,,,75,306,261,45,"Richland","Richland County Sheriff"
"Richland","Columbia Police",319,,261,,82,,,183,,70,,,98052,,27,,18,,17,,23,,,,,,,58,271,224,47,"Richland","Columbia Police"
"Spartanburg","Spartanburg County Sheriff",217,,199,,92,,,150,,75,,,226800,,9,,12,,16,,(14),,,,,,,18,193,172,21,"Spartanburg","Spartanburg County Sheriff"
"Spartanburg","Spartanburg Police",145,,123,,85,,,"      ---",,"      ---",,,43467,,28,,4,,3,,10,,,,,,,22,140,120,20,"Spartanburg","Spartanburg Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"SOUTH DAKOTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"SOUTH DAKOTA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Minnehaha","Sioux Falls Police",171,,145,,85,,,144,,99,,,100814,,14,,9,,8,,13,,,,,,,26,157,134,23,"Minnehaha","Sioux Falls Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"TENNESSEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"TENNESSEE",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Davidson","Nashville Metropolitan Police",1427,,1051,,74,,,715,,68,,,510784,,21,,8,,3,,26,,,,,,,376,1319,1020,299,"Davidson","Nashville Metropolitan Police"
"Hamilton","Hamilton County Sheriff",263,,241,,92,,,78,,32,,,285536,,8,,7,,11,,(24),,,,,,,22,246,217,29,"Hamilton","Hamilton County Sheriff"
"Hamilton","Chattanooga Police",485,,377,,78,,,302,,80,,,152466,,25,,(4),,2,,(19),,,,,,,108,505,371,134,"Hamilton","Chattanooga Police"
"Knox","Knox County Sheriff",524,,524,,100,,,200,,38,,,335749,,16,,13,,203,,(100),,,,,,,0,465,173,292,"Knox","Knox County Sheriff"
"Knox","Knoxville Police",395,,331,,84,,,265,,80,,,165121,,20,,9,,10,,3,,,,,,,64,364,302,62,"Knox","Knoxville Police"
"Madison","Jackson Police",212,,163,,77,,,100,,61,,,48949,,33,,14,,20,,(2),,,,,,,49,186,136,50,"Madison","Jackson Police"
"Montgomery","Clarksville Police",154,,138,,90,,,81,,59,,,75494,,18,,3,,5,,(16),,,,,,,16,150,131,19,"Montgomery","Clarksville Police"
"Shelby","Shelby County Sheriff",1263,,473,,37,,,"      ---",,"      ---",,,826330,,6,,(3),,3,,(6),,,,,,,790,1302,461,841,"Shelby","Shelby County Sheriff"
"Shelby","Memphis Police",2288,,1375,,60,,,"      ---",,"      ---",,,610337,,23,,9,,(1),,29,,,,,,,913,2092,1382,710,"Shelby","Memphis Police"
"Washington","Johnson City Police",151,,125,,83,,,90,,72,,,49381,,25,,11,,10,,18,,,,,,,26,136,114,22,"Washington","Johnson City Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,"      Personnel   9",,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,0,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,0,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,0,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",0,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"TEXAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"TEXAS",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Bell","Killeen Police",169,,130,,77,"%",,76,,58,"%",,63535,,20,,11,"%",14,"%",3,"%",,,,,,39,152,114,38,"Bell","Killeen Police"
"Bexar","Bexar County Sheriff",1421,,1239,,87,,,170,,14,,,1185394,,10,,26,,143,,(71),,,,,,,182,1130,509,621,"Bexar","Bexar County Sheriff"
"Bexar","San Antonio Police",2006,,1641,,82,,,848,,52,,,935933,,18,,5,,4,,9,,,,,,,365,1912,1576,336,"Bexar","San Antonio Police"
"Brazoria","Brazoria County Sheriff",214,,214,,100,,,81,,38,,,191707,,11,,45,,45,,0,,,,,,,0,148,148,0,"Brazoria","Brazoria County Sheriff"
"Cameron","Brownsville Police",229,,170,,74,,,140,,82,,,98962,,17,,17,,18,,16,,,,,,,59,195,144,51,"Cameron","Brownsville Police"
"Collin","Plano Police",248,,181,,73,,,118,,65,,,128713,,14,,(3),,6,,(22),,,,,,,67,256,170,86,"Collin","Plano Police"
"Dallas ","Carrollton Police",174,,126,,72,,,75,,60,,,82169,,15,,4,,10,,(8),,,,,,,48,167,115,52,"Dallas ","Carrollton Police"
"Dallas","Dallas Police",3528,,2810,,80,,,1143,,41,,,1006877,,28,,1,,7,,(16),,,,,,,718,3487,2635,852,"Dallas","Dallas Police"
"Dallas","Dallas-Ft. Worth Airport Police",308,,280,,91,,,242,,86,,,"              -",,"         -",,3,,3,,8,,,,,,,28,298,272,26,"Dallas","Dallas-Ft. Worth Airport Police"
"Dallas","Garland Police",327,,241,,74,,,164,,68,,,180650,,13,,8,,12,,(2),,,,,,,86,304,216,88,"Dallas","Garland Police"
"Dallas","Grand Prairie Police",248,,160,,65,,,148,,93,,,99616,,16,,16,,11,,28,,,,,,,88,213,144,69,"Dallas","Grand Prairie Police"
"Dallas","Irving Police",375,,269,,72,,,122,,45,,,155037,,17,,18,,13,,33,,,,,,,106,318,238,80,"Dallas","Irving Police"
"Dallas","Mesquite Police",218,,164,,75,,,100,,61,,,101484,,16,,2,,3,,2,,,,,,,54,213,160,53,"Dallas","Mesquite Police"
"Dallas","Richardson Police",244,,151,,62,,,74,,49,,,74840,,20,,33,,11,,98,,,,,,,93,183,136,47,"Dallas","Richardson Police"
"Denton","Denton Police",128,,104,,81,,,56,,54,,,66270,,16,,(2),,0,,(11),,,,,,,24,131,104,27,"Denton","Denton Police"
"Ector","Odessa Police",246,,171,,70,,,115,,67,,,89699,,19,,3,,(1),,15,,,,,,,75,238,173,65,"Ector","Odessa Police"
"El Paso","El Paso County Sheriff",551,,195,,35,,,91,,47,,,591610,,3,,0,,4,,(2),,,,,,,356,550,187,363,"El Paso","El Paso County Sheriff"
"El Paso","El Paso Police",1095,,862,,79,,,595,,69,,,515342,,17,,18,,17,,23,,,,,,,233,928,738,190,"El Paso","El Paso Police"
"Fort Bend","Fort Bend County Sheriff",213,,168,,79,,,58,,35,,,225421,,7,,12,,11,,18,,,,,,,45,190,152,38,"Fort Bend","Fort Bend County Sheriff"
"Galveston ","Galveston County Sheriff",292,,236,,81,,,"      ---",,"      ---",,,217399,,11,,1,,2,,(3),,,,,,,56,289,231,58,"Galveston ","Galveston County Sheriff"
"Galveston","Galveston Police",194,,160,,82,,,110,,69,,,59070,,27,,3,,(2),,31,,,,,,,34,189,163,26,"Galveston","Galveston Police"
"Gregg","Longview Police",179,,128,,72,,,80,,63,,,70311,,18,,1,,0,,2,,,,,,,51,178,128,50,"Gregg","Longview Police"
"Harris","Harris County Sheriff",3366,,2047,,61,,,322,,16,,,2818199,,7,,70,,32,,207,,,,,,,1319,1985,1555,430,"Harris","Harris County Sheriff"
"Harris","Baytown Police",140,,110,,79,,,62,,56,,,63850,,17,,3,,9,,(14),,,,,,,30,136,101,35,"Harris","Baytown Police"
"Harris","Houston Police",6641,,4627,,70,,,2400,,52,,,1630553,,28,,19,,13,,37,,,,,,,2014,5579,4104,1475,"Harris","Houston Police"
"Harris","Pasadena Police",260,,205,,79,,,112,,55,,,119363,,17,,9,,4,,31,,,,,,,55,239,197,42,"Harris","Pasadena Police"
"Hidalgo","McAllen Police",256,,160,,63,,,111,,69,,,84021,,19,,7,,(1),,25,,,,,,,96,239,162,77,"Hidalgo","McAllen Police"
"Jefferson","Beaumont Police",297,,239,,80,,,133,,56,,,114323,,21,,14,,9,,38,,,,,,,58,261,219,42,"Jefferson","Beaumont Police"
"Jefferson","Port Arthur Police",145,,112,,77,,,65,,58,,,58724,,19,,8,,4,,27,,,,,,,33,134,108,26,"Jefferson","Port Arthur Police"
"Lubbock","Lubbock Police",355,,313,,88,,,297,,95,,,186206,,17,,4,,4,,11,,,,,,,42,340,302,38,"Lubbock","Lubbock Police"
